Id|FK_LifeCycle|FK_Asset|Breakeven Gas Price Category|Breakeven Gas Price Detail|Breakeven Gas Price Group|Breakeven Oil Price Category|Breakeven Oil Price Detail|Breakeven Oil Price Group
18251|1|32555|N/A|N/A|N/A|N/A|N/A|N/A
18252|14|32555|USD/kcf 2-3|USD/kcf 2.40-2.60|USD/kcf 0-5|USD/bbl 15-20|USD/bbl 19-20|USD/bbl 10-20
18253|1|32556|N/A|N/A|N/A|N/A|N/A|N/A
18255|1|32558|N/A|N/A|N/A|N/A|N/A|N/A
18256|14|32558|USD/kcf 5-6|USD/kcf 5.80-6.00|USD/kcf 5-10|USD/bbl 45-50|USD/bbl 47-48|USD/bbl 40-60
18257|1|32559|N/A|N/A|N/A|N/A|N/A|N/A
18258|14|32559|USD/kcf 5-6|USD/kcf 5.80-6.00|USD/kcf 5-10|USD/bbl 45-50|USD/bbl 47-48|USD/bbl 40-60
18259|1|32560|N/A|N/A|N/A|N/A|N/A|N/A
18263|1|32563|N/A|N/A|N/A|N/A|N/A|N/A
18265|1|32565|N/A|N/A|N/A|N/A|N/A|N/A
18267|1|32566|N/A|N/A|N/A|N/A|N/A|N/A
18270|14|32567|USD/kcf 3-4|USD/kcf 3.80-4.00|USD/kcf 0-5|USD/bbl 30-35|USD/bbl 31-32|USD/bbl 20-40
18273|1|32570|N/A|N/A|N/A|N/A|N/A|N/A
18275|1|32572|N/A|N/A|N/A|N/A|N/A|N/A
18278|7|32573|USD/kcf 5-6|USD/kcf 5.40-5.60|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 43-44|USD/bbl 40-60
18286|8|32580|USD/kcf 7-8|USD/kcf 7.40-7.60|USD/kcf 5-10|USD/bbl 55-60|USD/bbl 59-60|USD/bbl 40-60
18291|1|32584|N/A|N/A|N/A|N/A|N/A|N/A
18299|1|32592|N/A|N/A|N/A|N/A|N/A|N/A
18313|1|32604|N/A|N/A|N/A|N/A|N/A|N/A
18334|24|32616|N/A|N/A|N/A|N/A|N/A|N/A
18348|24|32625|N/A|N/A|N/A|N/A|N/A|N/A
18372|24|32638|USD/kcf 10-11|USD/kcf 10.60-10.80|USD/kcf 10-15|USD/bbl 85-90|USD/bbl 85-86|USD/bbl 80-100
18290|8|32582|USD/kcf 5-6|USD/kcf 5.00-5.20|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 40-41|USD/bbl 40-60
18294|8|32585|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
18302|14|32593|USD/kcf 0-1|USD/kcf 0.20-0.40|USD/kcf 0-5|USD/bbl 50-55|USD/bbl 50-51|USD/bbl 40-60
18314|9|32604|USD/kcf 3-4|USD/kcf 3.60-3.80|USD/kcf 0-5|USD/bbl 30-35|USD/bbl 30-31|USD/bbl 20-40
18324|24|32610|N/A|N/A|N/A|N/A|N/A|N/A
18336|24|32618|N/A|N/A|N/A|N/A|N/A|N/A
18352|24|32627|N/A|N/A|N/A|N/A|N/A|N/A
18376|24|32642|N/A|N/A|N/A|N/A|N/A|N/A
81210|24|105469|N/A|N/A|N/A|N/A|N/A|N/A
117318|1|204434|N/A|N/A|N/A|N/A|N/A|N/A
18254|2|32556|N/A|N/A|N/A|N/A|N/A|N/A
18296|14|32586|USD/kcf 0-1|USD/kcf 0.20-0.40|USD/kcf 0-5|USD/bbl 105-110|USD/bbl 105-106|USD/bbl 100-125
18298|14|32589|USD/kcf 3-4|USD/kcf 3.40-3.60|USD/kcf 0-5|USD/bbl 25-30|USD/bbl 28-29|USD/bbl 20-40
18323|1|32610|N/A|N/A|N/A|N/A|N/A|N/A
18338|24|32619|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
18343|1|32623|N/A|N/A|N/A|N/A|N/A|N/A
18361|1|32633|N/A|N/A|N/A|N/A|N/A|N/A
18287|1|32581|N/A|N/A|N/A|N/A|N/A|N/A
18300|14|32592|USD/kcf 0-1|USD/kcf 0.20-0.40|USD/kcf 0-5|USD/bbl 55-60|USD/bbl 57-58|USD/bbl 40-60
18311|1|32603|N/A|N/A|N/A|N/A|N/A|N/A
18316|24|32606|N/A|N/A|N/A|N/A|N/A|N/A
18317|1|32607|N/A|N/A|N/A|N/A|N/A|N/A
18319|1|32608|N/A|N/A|N/A|N/A|N/A|N/A
18331|1|32615|N/A|N/A|N/A|N/A|N/A|N/A
18349|1|32626|N/A|N/A|N/A|N/A|N/A|N/A
18306|9|32597|USD/kcf 6-7|USD/kcf 6.00-6.20|USD/kcf 5-10|USD/bbl 45-50|USD/bbl 49-50|USD/bbl 40-60
18350|24|32626|N/A|N/A|N/A|N/A|N/A|N/A
18354|24|32628|N/A|N/A|N/A|N/A|N/A|N/A
18379|1|32644|N/A|N/A|N/A|N/A|N/A|N/A
86372|1|109545|N/A|N/A|N/A|N/A|N/A|N/A
117327|24|204438|N/A|N/A|N/A|N/A|N/A|N/A
117346|1|204448|N/A|N/A|N/A|N/A|N/A|N/A
128354|25|234858|N/A|N/A|N/A|N/A|N/A|N/A
18384|24|32646|N/A|N/A|N/A|N/A|N/A|N/A
82124|24|106062|N/A|N/A|N/A|N/A|N/A|N/A
117300|1|204425|N/A|N/A|N/A|N/A|N/A|N/A
117356|1|204453|N/A|N/A|N/A|N/A|N/A|N/A
130523|1|238913|N/A|N/A|N/A|N/A|N/A|N/A
130530|24|238916|N/A|N/A|N/A|N/A|N/A|N/A
18260|14|32560|USD/kcf 5-6|USD/kcf 5.20-5.40|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 41-42|USD/bbl 40-60
18269|1|32567|N/A|N/A|N/A|N/A|N/A|N/A
18276|14|32572|USD/kcf 3-4|USD/kcf 3.80-4.00|USD/kcf 0-5|USD/bbl 30-35|USD/bbl 30-31|USD/bbl 20-40
18277|1|32573|N/A|N/A|N/A|N/A|N/A|N/A
18281|1|32575|N/A|N/A|N/A|N/A|N/A|N/A
18282|7|32575|USD/kcf 6-7|USD/kcf 6.40-6.60|USD/kcf 5-10|USD/bbl 50-55|USD/bbl 52-53|USD/bbl 40-60
18304|2|32596|N/A|N/A|N/A|N/A|N/A|N/A
18305|1|32597|N/A|N/A|N/A|N/A|N/A|N/A
18335|1|32618|N/A|N/A|N/A|N/A|N/A|N/A
18345|1|32624|N/A|N/A|N/A|N/A|N/A|N/A
18362|24|32633|USD/kcf 10-11|USD/kcf 10.00-10.20|USD/kcf 10-15|USD/bbl 80-85|USD/bbl 80-81|USD/bbl 80-100
18381|1|32645|N/A|N/A|N/A|N/A|N/A|N/A
18284|10|32576|USD/kcf 4-5|USD/kcf 4.20-4.40|USD/kcf 0-5|USD/bbl 30-35|USD/bbl 34-35|USD/bbl 20-40
18307|1|32598|N/A|N/A|N/A|N/A|N/A|N/A
18308|9|32598|USD/kcf 6-7|USD/kcf 6.80-7.00|USD/kcf 5-10|USD/bbl 55-60|USD/bbl 55-56|USD/bbl 40-60
18363|1|32634|N/A|N/A|N/A|N/A|N/A|N/A
18375|1|32642|N/A|N/A|N/A|N/A|N/A|N/A
18383|1|32646|N/A|N/A|N/A|N/A|N/A|N/A
75947|9|97385|USD/kcf 8-9|USD/kcf 8.20-8.40|USD/kcf 5-10|USD/bbl 65-70|USD/bbl 66-67|USD/bbl 60-80
81201|1|105465|N/A|N/A|N/A|N/A|N/A|N/A
81205|1|105467|N/A|N/A|N/A|N/A|N/A|N/A
107868|24|194790|N/A|N/A|N/A|N/A|N/A|N/A
117314|1|204432|N/A|N/A|N/A|N/A|N/A|N/A
18264|2|32563|N/A|N/A|N/A|N/A|N/A|N/A
18268|6|32566|USD/kcf 5-6|USD/kcf 5.20-5.40|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 42-43|USD/bbl 40-60
18272|2|32568|N/A|N/A|N/A|N/A|N/A|N/A
18279|1|32574|N/A|N/A|N/A|N/A|N/A|N/A
18326|24|32611|N/A|N/A|N/A|N/A|N/A|N/A
18329|1|32614|N/A|N/A|N/A|N/A|N/A|N/A
18353|1|32628|N/A|N/A|N/A|N/A|N/A|N/A
18365|1|32635|N/A|N/A|N/A|N/A|N/A|N/A
18386|24|32649|USD/kcf 9-10|USD/kcf 9.20-9.40|USD/kcf 5-10|USD/bbl 75-80|USD/bbl 75-76|USD/bbl 60-80
18274|14|32570|USD/kcf 3-4|USD/kcf 3.00-3.20|USD/kcf 0-5|USD/bbl 25-30|USD/bbl 25-26|USD/bbl 20-40
18280|2|32574|N/A|N/A|N/A|N/A|N/A|N/A
18301|1|32593|N/A|N/A|N/A|N/A|N/A|N/A
18310|10|32602|USD/kcf 5-6|USD/kcf 5.40-5.60|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 43-44|USD/bbl 40-60
18325|1|32611|N/A|N/A|N/A|N/A|N/A|N/A
18330|24|32614|USD/kcf 8-9|USD/kcf 8.20-8.40|USD/kcf 5-10|USD/bbl 65-70|USD/bbl 66-67|USD/bbl 60-80
18339|1|32621|N/A|N/A|N/A|N/A|N/A|N/A
18355|1|32629|N/A|N/A|N/A|N/A|N/A|N/A
18357|1|32631|N/A|N/A|N/A|N/A|N/A|N/A
18358|24|32631|N/A|N/A|N/A|N/A|N/A|N/A
18360|24|32632|N/A|N/A|N/A|N/A|N/A|N/A
18364|24|32634|N/A|N/A|N/A|N/A|N/A|N/A
18371|1|32638|N/A|N/A|N/A|N/A|N/A|N/A
18377|1|32643|N/A|N/A|N/A|N/A|N/A|N/A
18385|1|32649|N/A|N/A|N/A|N/A|N/A|N/A
18285|1|32580|N/A|N/A|N/A|N/A|N/A|N/A
18327|1|32613|N/A|N/A|N/A|N/A|N/A|N/A
18359|1|32632|N/A|N/A|N/A|N/A|N/A|N/A
18369|1|32637|N/A|N/A|N/A|N/A|N/A|N/A
18382|24|32645|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
81203|1|105466|N/A|N/A|N/A|N/A|N/A|N/A
81208|24|105468|N/A|N/A|N/A|N/A|N/A|N/A
81989|1|105982|N/A|N/A|N/A|N/A|N/A|N/A
86373|24|109545|N/A|N/A|N/A|N/A|N/A|N/A
96599|1|119380|N/A|N/A|N/A|N/A|N/A|N/A
99372|1|122531|N/A|N/A|N/A|N/A|N/A|N/A
107871|1|194792|N/A|N/A|N/A|N/A|N/A|N/A
117304|1|204427|N/A|N/A|N/A|N/A|N/A|N/A
117323|24|204436|N/A|N/A|N/A|N/A|N/A|N/A
117325|24|204437|N/A|N/A|N/A|N/A|N/A|N/A
117340|1|204445|N/A|N/A|N/A|N/A|N/A|N/A
128351|1|234857|N/A|N/A|N/A|N/A|N/A|N/A
128355|1|234859|N/A|N/A|N/A|N/A|N/A|N/A
130511|1|238907|N/A|N/A|N/A|N/A|N/A|N/A
130521|1|238912|N/A|N/A|N/A|N/A|N/A|N/A
130527|1|238915|N/A|N/A|N/A|N/A|N/A|N/A
134763|1|244622|N/A|N/A|N/A|N/A|N/A|N/A
117328|1|204439|N/A|N/A|N/A|N/A|N/A|N/A
149452|6|280718|USD/kcf 4-5|USD/kcf 4.80-5.00|USD/kcf 0-5|USD/bbl 35-40|USD/bbl 39-40|USD/bbl 20-40
130526|24|238914|USD/kcf 10-11|USD/kcf 10.80-11.00|USD/kcf 10-15|USD/bbl 85-90|USD/bbl 86-87|USD/bbl 80-100
18262|14|32561|USD/kcf 5-6|USD/kcf 5.60-5.80|USD/kcf 5-10|USD/bbl 45-50|USD/bbl 46-47|USD/bbl 40-60
18292|2|32584|N/A|N/A|N/A|N/A|N/A|N/A
18341|1|32622|N/A|N/A|N/A|N/A|N/A|N/A
18347|1|32625|N/A|N/A|N/A|N/A|N/A|N/A
18303|1|32596|N/A|N/A|N/A|N/A|N/A|N/A
18333|1|32616|N/A|N/A|N/A|N/A|N/A|N/A
18367|1|32636|N/A|N/A|N/A|N/A|N/A|N/A
75946|1|97385|N/A|N/A|N/A|N/A|N/A|N/A
81204|24|105466|USD/kcf 8-9|USD/kcf 8.40-8.60|USD/kcf 5-10|USD/bbl 65-70|USD/bbl 67-68|USD/bbl 60-80
81207|1|105468|N/A|N/A|N/A|N/A|N/A|N/A
81209|1|105469|N/A|N/A|N/A|N/A|N/A|N/A
85251|1|108689|N/A|N/A|N/A|N/A|N/A|N/A
85253|1|108690|N/A|N/A|N/A|N/A|N/A|N/A
99373|2|122531|N/A|N/A|N/A|N/A|N/A|N/A
117303|24|204426|N/A|N/A|N/A|N/A|N/A|N/A
117305|24|204427|N/A|N/A|N/A|N/A|N/A|N/A
117309|24|204429|N/A|N/A|N/A|N/A|N/A|N/A
117331|24|204440|N/A|N/A|N/A|N/A|N/A|N/A
117335|24|204442|N/A|N/A|N/A|N/A|N/A|N/A
117337|24|204443|N/A|N/A|N/A|N/A|N/A|N/A
117342|1|204446|N/A|N/A|N/A|N/A|N/A|N/A
117363|24|204456|N/A|N/A|N/A|N/A|N/A|N/A
130516|24|238909|N/A|N/A|N/A|N/A|N/A|N/A
130528|24|238915|N/A|N/A|N/A|N/A|N/A|N/A
117334|1|204442|N/A|N/A|N/A|N/A|N/A|N/A
117345|24|204447|N/A|N/A|N/A|N/A|N/A|N/A
130408|24|238710|N/A|N/A|N/A|N/A|N/A|N/A
107873|1|194793|N/A|N/A|N/A|N/A|N/A|N/A
117299|24|204424|N/A|N/A|N/A|N/A|N/A|N/A
117361|24|204455|N/A|N/A|N/A|N/A|N/A|N/A
117312|1|204431|N/A|N/A|N/A|N/A|N/A|N/A
18315|1|32606|N/A|N/A|N/A|N/A|N/A|N/A
18332|24|32615|N/A|N/A|N/A|N/A|N/A|N/A
18289|1|32582|N/A|N/A|N/A|N/A|N/A|N/A
18295|1|32586|N/A|N/A|N/A|N/A|N/A|N/A
18320|24|32608|N/A|N/A|N/A|N/A|N/A|N/A
73199|24|89432|N/A|N/A|N/A|N/A|N/A|N/A
117322|1|204436|N/A|N/A|N/A|N/A|N/A|N/A
18283|1|32576|N/A|N/A|N/A|N/A|N/A|N/A
18293|1|32585|N/A|N/A|N/A|N/A|N/A|N/A
18356|24|32629|N/A|N/A|N/A|N/A|N/A|N/A
18340|24|32621|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
18373|1|32640|N/A|N/A|N/A|N/A|N/A|N/A
18380|24|32644|N/A|N/A|N/A|N/A|N/A|N/A
18309|1|32602|N/A|N/A|N/A|N/A|N/A|N/A
18318|24|32607|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|USD/bbl 120-125|USD/bbl 121-122|USD/bbl 100-125
18342|24|32622|N/A|N/A|N/A|N/A|N/A|N/A
18346|24|32624|USD/kcf 8-9|USD/kcf 8.60-8.80|USD/kcf 5-10|USD/bbl 65-70|USD/bbl 69-70|USD/bbl 60-80
18321|1|32609|N/A|N/A|N/A|N/A|N/A|N/A
73198|1|89432|N/A|N/A|N/A|N/A|N/A|N/A
81990|31|105982|USD/kcf 1-2|USD/kcf 1.60-1.80|USD/kcf 0-5|USD/bbl 10-15|USD/bbl 13-14|USD/bbl 10-20
99391|31|122542|USD/kcf 5-6|USD/kcf 5.80-6.00|USD/kcf 5-10|USD/bbl 45-50|USD/bbl 46-47|USD/bbl 40-60
105091|1|192071|N/A|N/A|N/A|N/A|N/A|N/A
105092|31|192071|USD/kcf 8-9|USD/kcf 8.00-8.20|USD/kcf 5-10|USD/bbl 60-65|USD/bbl 64-65|USD/bbl 60-80
107863|1|194788|N/A|N/A|N/A|N/A|N/A|N/A
107872|24|194792|USD/kcf 9-10|USD/kcf 9.20-9.40|USD/kcf 5-10|USD/bbl 75-80|USD/bbl 75-76|USD/bbl 60-80
107874|24|194793|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
117298|1|204424|N/A|N/A|N/A|N/A|N/A|N/A
117319|24|204434|N/A|N/A|N/A|N/A|N/A|N/A
117329|24|204439|N/A|N/A|N/A|N/A|N/A|N/A
117338|1|204444|N/A|N/A|N/A|N/A|N/A|N/A
117349|24|204449|N/A|N/A|N/A|N/A|N/A|N/A
117353|24|204451|N/A|N/A|N/A|N/A|N/A|N/A
118201|1|207128|N/A|N/A|N/A|N/A|N/A|N/A
128353|1|234858|N/A|N/A|N/A|N/A|N/A|N/A
130204|9|237729|USD/kcf 4-5|USD/kcf 4.80-5.00|USD/kcf 0-5|USD/bbl 35-40|USD/bbl 38-39|USD/bbl 20-40
130517|1|238910|N/A|N/A|N/A|N/A|N/A|N/A
130536|24|238919|N/A|N/A|N/A|N/A|N/A|N/A
149450|6|280717|USD/kcf 6-7|USD/kcf 6.60-6.80|USD/kcf 5-10|USD/bbl 50-55|USD/bbl 53-54|USD/bbl 40-60
117347|24|204448|N/A|N/A|N/A|N/A|N/A|N/A
117357|24|204453|N/A|N/A|N/A|N/A|N/A|N/A
18297|1|32589|N/A|N/A|N/A|N/A|N/A|N/A
18344|24|32623|USD/kcf 7-8|USD/kcf 7.60-7.80|USD/kcf 5-10|USD/bbl 60-65|USD/bbl 61-62|USD/bbl 60-80
18261|1|32561|N/A|N/A|N/A|N/A|N/A|N/A
18312|14|32603|USD/kcf 0-1|USD/kcf 0.20-0.40|USD/kcf 0-5|USD/bbl 90-95|USD/bbl 93-94|USD/bbl 80-100
18328|24|32613|N/A|N/A|N/A|N/A|N/A|N/A
18368|24|32636|N/A|N/A|N/A|N/A|N/A|N/A
18351|1|32627|N/A|N/A|N/A|N/A|N/A|N/A
18374|24|32640|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
18378|24|32643|N/A|N/A|N/A|N/A|N/A|N/A
18322|24|32609|N/A|N/A|N/A|N/A|N/A|N/A
72729|1|89094|N/A|N/A|N/A|N/A|N/A|N/A
72730|30|89094|N/A|N/A|N/A|N/A|N/A|N/A
81206|24|105467|N/A|N/A|N/A|N/A|N/A|N/A
81211|1|105470|N/A|N/A|N/A|N/A|N/A|N/A
81212|24|105470|N/A|N/A|N/A|N/A|N/A|N/A
82123|1|106062|N/A|N/A|N/A|N/A|N/A|N/A
85252|24|108689|N/A|N/A|N/A|N/A|N/A|N/A
86034|1|109270|N/A|N/A|N/A|N/A|N/A|N/A
86035|26|109270|N/A|N/A|N/A|N/A|N/A|N/A
88413|1|113026|N/A|N/A|N/A|N/A|N/A|N/A
96600|3|119380|USD/kcf 4-5|USD/kcf 4.40-4.60|USD/kcf 0-5|USD/bbl 35-40|USD/bbl 36-37|USD/bbl 20-40
105064|24|191724|N/A|N/A|N/A|N/A|N/A|N/A
107862|24|194787|N/A|N/A|N/A|N/A|N/A|N/A
107864|24|194788|N/A|N/A|N/A|N/A|N/A|N/A
107867|1|194790|N/A|N/A|N/A|N/A|N/A|N/A
107869|1|194791|N/A|N/A|N/A|N/A|N/A|N/A
117301|24|204425|N/A|N/A|N/A|N/A|N/A|N/A
117302|1|204426|N/A|N/A|N/A|N/A|N/A|N/A
117306|1|204428|N/A|N/A|N/A|N/A|N/A|N/A
117307|24|204428|N/A|N/A|N/A|N/A|N/A|N/A
117315|24|204432|N/A|N/A|N/A|N/A|N/A|N/A
117316|1|204433|N/A|N/A|N/A|N/A|N/A|N/A
117321|24|204435|N/A|N/A|N/A|N/A|N/A|N/A
117324|1|204437|N/A|N/A|N/A|N/A|N/A|N/A
117326|1|204438|N/A|N/A|N/A|N/A|N/A|N/A
117339|24|204444|N/A|N/A|N/A|N/A|N/A|N/A
117343|24|204446|N/A|N/A|N/A|N/A|N/A|N/A
117344|1|204447|N/A|N/A|N/A|N/A|N/A|N/A
117348|1|204449|N/A|N/A|N/A|N/A|N/A|N/A
117351|24|204450|N/A|N/A|N/A|N/A|N/A|N/A
117355|24|204452|N/A|N/A|N/A|N/A|N/A|N/A
117358|1|204454|N/A|N/A|N/A|N/A|N/A|N/A
117359|24|204454|N/A|N/A|N/A|N/A|N/A|N/A
117360|1|204455|N/A|N/A|N/A|N/A|N/A|N/A
128352|25|234857|N/A|N/A|N/A|N/A|N/A|N/A
130512|24|238907|N/A|N/A|N/A|N/A|N/A|N/A
130518|24|238910|Above USD/kcf 15|Above USD/kcf 15|Above USD/kcf 15|Above USD/bbl 150|Above USD/bbl 150|Above USD/bbl 150
130519|1|238911|N/A|N/A|N/A|N/A|N/A|N/A
130520|24|238911|N/A|N/A|N/A|N/A|N/A|N/A
130522|24|238912|N/A|N/A|N/A|N/A|N/A|N/A
130525|1|238914|N/A|N/A|N/A|N/A|N/A|N/A
130534|24|238918|N/A|N/A|N/A|N/A|N/A|N/A
130535|1|238919|N/A|N/A|N/A|N/A|N/A|N/A
130538|24|238920|N/A|N/A|N/A|N/A|N/A|N/A
148997|1|279421|N/A|N/A|N/A|N/A|N/A|N/A
148998|8|279421|USD/kcf 4-5|USD/kcf 4.60-4.80|USD/kcf 0-5|USD/bbl 35-40|USD/bbl 38-39|USD/bbl 20-40
149449|1|280717|N/A|N/A|N/A|N/A|N/A|N/A
130203|1|237729|N/A|N/A|N/A|N/A|N/A|N/A
130537|1|238920|N/A|N/A|N/A|N/A|N/A|N/A
18337|1|32619|N/A|N/A|N/A|N/A|N/A|N/A
18366|24|32635|N/A|N/A|N/A|N/A|N/A|N/A
88414|3|113026|USD/kcf 6-7|USD/kcf 6.20-6.40|USD/kcf 5-10|USD/bbl 50-55|USD/bbl 51-52|USD/bbl 40-60
107865|1|194789|N/A|N/A|N/A|N/A|N/A|N/A
107866|24|194789|USD/kcf 6-7|USD/kcf 6.40-6.60|USD/kcf 5-10|USD/bbl 50-55|USD/bbl 52-53|USD/bbl 40-60
117311|24|204430|N/A|N/A|N/A|N/A|N/A|N/A
117320|1|204435|N/A|N/A|N/A|N/A|N/A|N/A
117333|24|204441|N/A|N/A|N/A|N/A|N/A|N/A
117352|1|204451|N/A|N/A|N/A|N/A|N/A|N/A
117362|1|204456|N/A|N/A|N/A|N/A|N/A|N/A
130409|1|238711|N/A|N/A|N/A|N/A|N/A|N/A
130529|1|238916|N/A|N/A|N/A|N/A|N/A|N/A
130531|1|238917|N/A|N/A|N/A|N/A|N/A|N/A
134764|23|244622|USD/kcf 2-3|USD/kcf 2.20-2.40|USD/kcf 0-5|USD/bbl 15-20|USD/bbl 18-19|USD/bbl 10-20
117310|1|204430|N/A|N/A|N/A|N/A|N/A|N/A
130410|24|238711|N/A|N/A|N/A|N/A|N/A|N/A
107861|1|194787|N/A|N/A|N/A|N/A|N/A|N/A
18271|1|32568|N/A|N/A|N/A|N/A|N/A|N/A
81202|24|105465|N/A|N/A|N/A|N/A|N/A|N/A
117330|1|204440|N/A|N/A|N/A|N/A|N/A|N/A
117354|1|204452|N/A|N/A|N/A|N/A|N/A|N/A
118202|24|207128|N/A|N/A|N/A|N/A|N/A|N/A
130515|1|238909|N/A|N/A|N/A|N/A|N/A|N/A
18266|14|32565|USD/kcf 5-6|USD/kcf 5.40-5.60|USD/kcf 5-10|USD/bbl 40-45|USD/bbl 43-44|USD/bbl 40-60
18370|24|32637|N/A|N/A|N/A|N/A|N/A|N/A
18288|2|32581|N/A|N/A|N/A|N/A|N/A|N/A
85254|24|108690|N/A|N/A|N/A|N/A|N/A|N/A
99390|1|122542|N/A|N/A|N/A|N/A|N/A|N/A
105063|1|191724|N/A|N/A|N/A|N/A|N/A|N/A
117313|24|204431|N/A|N/A|N/A|N/A|N/A|N/A
117332|1|204441|N/A|N/A|N/A|N/A|N/A|N/A
117341|24|204445|N/A|N/A|N/A|N/A|N/A|N/A
117350|1|204450|N/A|N/A|N/A|N/A|N/A|N/A
130513|1|238908|N/A|N/A|N/A|N/A|N/A|N/A
130514|24|238908|USD/kcf 7-8|USD/kcf 7.40-7.60|USD/kcf 5-10|USD/bbl 55-60|USD/bbl 59-60|USD/bbl 40-60
130524|24|238913|N/A|N/A|N/A|N/A|N/A|N/A
130532|24|238917|N/A|N/A|N/A|N/A|N/A|N/A
130533|1|238918|N/A|N/A|N/A|N/A|N/A|N/A
149451|1|280718|N/A|N/A|N/A|N/A|N/A|N/A
107870|24|194791|USD/kcf 7-8|USD/kcf 7.20-7.40|USD/kcf 5-10|USD/bbl 55-60|USD/bbl 59-60|USD/bbl 40-60
117317|24|204433|N/A|N/A|N/A|N/A|N/A|N/A
128356|25|234859|N/A|N/A|N/A|N/A|N/A|N/A
130407|1|238710|N/A|N/A|N/A|N/A|N/A|N/A
117336|1|204443|N/A|N/A|N/A|N/A|N/A|N/A
117308|1|204429|N/A|N/A|N/A|N/A|N/A|N/A
